index;source_power_dbm;input_level_db;etalon_db;measured_db;correction_db;linear_input;linear_correction
0;10.0;-10.7872847185;-10.809964765;-10.7872847185;0.0;0.2888256531143643;1.0
1;9.556451612903226;-10.790257204500001;-10.8124615535;-10.790257204500001;0.00047569750000064914;0.2887268280820761;1.0000547681983367
2;9.112903225806452;-10.792452156;-10.814491985250001;-10.792452156;0.0006402172499981873;0.2886538751269591;1.000073710451288
3;8.669354838709678;-11.40047483225;-11.4226153805;-11.40047483225;0.0005394982499993262;0.2691387669592061;1.0000621139603993
4;8.225806451612904;-11.40065202625;-11.42265861825;-11.40065202625;0.0006734544999993375;0.2691332765269968;1.000077537320488
5;7.782258064516129;-11.9455154935;-11.96840778675;-11.9455154935;-0.00021224674999942295;0.252769241555737;0.9999755644884227
6;7.338709677419355;-11.945698902;-11.967930678999998;-11.945698902;0.0004482695000014303;0.2527639042166833;1.0000516102651813
7;6.89516129032258;-12.580826822;-12.602554625749999;-12.580826822;0.0009522427500012753;0.234940916665437;1.0001096370077507
8;6.451612903225806;-12.580824551;-12.60260912575;-12.580824551;0.0008954717499989329;0.23494097809275352;1.0001031003096088
9;6.008064516129032;-12.580952559;-12.6026906355;-12.580952559;0.0009419699999995146;0.23493751568367754;1.0001084541847323
10;5.564516129032258;-13.180828514749999;-13.2026095805;-13.180828514749999;0.0008989807499979463;0.2192595781807895;1.0001035043398963
11;5.120967741935484;-13.181018748;-13.20233370975;-13.181018748;0.0013650847499988572;0.21925477613895686;1.000157173540268
12;4.67741935483871;-13.928526257999998;-13.950434669;-13.928526257999998;0.0007716354999978137;0.20117485042595906;1.000088841766172
13;4.233870967741936;-13.928705093499998;-13.950170194;-13.928705093499998;0.0012149459999974965;0.20117070843980747;1.000139885610499
14;3.790322580645161;-14.653092770499999;-14.673700544;-14.653092770499999;0.002072272999997793;0.18507397869833167;1.0002386077082122
15;3.346774193548387;-14.6529448395;-14.67342516925;-14.6529448395;0.00219971674999897;0.1850771307544855;1.0002532838207996
